,지번주소,도로명주소,사업장명,위도,경도
123,서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,37.508151383781495,127.02127296073003
124,서울특별시 강남구 대치동 507 윈플러스상가 ,서울특별시 강남구 남부순환로 2936 윈플러스상가 지상1층 104호 (대치동),동경에서 먹었던 규동,37.49335769225387,127.05901902658121
125,서울특별시 강남구 역삼동 740-2번지 세하빌딩1층 ,서울특별시 강남구 논현로85길 35 (역삼동세하빌딩1층),더 간사이,37.49825359742648,127.03237745696583
126,서울특별시 강남구 역삼동 817-8번지 ,서울특별시 강남구 테헤란로1길 28-1 (역삼동),야다이,37.50033283662743,127.02476461016803
127,서울특별시 강남구 역삼동 832-33 성우스타우스오피스텔,서울특별시 강남구 역삼로4길 16 성우스타우스오피스텔 지상1층 112호 (역삼동),토리니쿠,37.492409017716554,127.02913357378822
128,서울특별시 강남구 압구정동 369-1번지 ,서울특별시 강남구 압구정로29길 71 지상1층 104105호 (압구정동 현대상가 2동),춘풍월,37.533026723729606,127.02503554801572
129,서울특별시 강남구 역삼동 669-16번지 ,서울특별시 강남구 논현로94길 11 지하1층 (역삼동),아리네술상,37.502588713353106,127.03431929917441
130,서울특별시 강남구 역삼동 788-32번지 ,서울특별시 강남구 도곡로 209 1층 (역삼동),이자카야 겸,37.49300147718078,127.03890601579614
131,서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),37.494787906406366,127.02717668905973
132,서울특별시 강남구 신사동 657-32번지 ,서울특별시 강남구 도산대로51길 40 지상3층 302호 (신사동),겜지노,37.525749309802286,127.03540301122194
133,서울특별시 강남구 논현동 148-17,서울특별시 강남구 학동로20길 46 지상1층 (논현동),아리,37.5107347484042,127.02449795905905
134,서울특별시 강남구 역삼동 642-1번지 역삼현대벤쳐텔 ,서울특별시 강남구 테헤란로25길 20 역삼현대벤쳐텔 지하1층 B102호 (역삼동),갓포돈,37.501637085755824,127.03274372258359
135,서울특별시 강남구 대치동 945-15번지 지상1층 101호,서울특별시 강남구 테헤란로98길 16 지상1층 101호 (대치동),남오토코 대치점,37.50723691066184,127.05952288741733
136,서울특별시 강남구 신사동 533-14번지 지하1층 ,서울특별시 강남구 압구정로12길 34-4 지하1층 (신사동),료하나,37.521705936614566,127.01956345553813
137,서울특별시 강남구 청담동 126-5 지상2층 ,서울특별시 강남구 도산대로89길 18 (청담동지상2층),오다,37.525697984571494,127.048228518232
138,서울특별시 강남구 삼성동 128-23 원혜빌딩 ,서울특별시 강남구 삼성로 519 원혜빌딩 지상2층 (삼성동),청담이상블랙 삼성로점,37.50838394398791,127.05248976311942
139,서울특별시 강남구 논현동 249-6번지 지하1층101호 ,서울특별시 강남구 언주로 626 (논현동지하1층101호),나리스시 논현본점,37.51259480878224,127.03317243355978
140,서울특별시 강남구 대치동 901-38 1층 ,서울특별시 강남구 삼성로81길 37 1층 (대치동),오레노카츠,37.503690279409,127.05174696282712
141,서울특별시 강남구 역삼동 699-1번지 ,서울특별시 강남구 언주로98길 5-4 지상1층 (역삼동),야신,37.505308023712246,127.03960098267156
142,서울특별시 강남구 신사동 559-9번지 ,서울특별시 강남구 도산대로23길 19 지상 1층 (신사동),사일삼 프로젝트 신사,37.520254025535145,127.02302833967083
143,서울특별시 강남구 역삼동 825-20번지 강남역 센트럴 푸르지오 시티 ,서울특별시 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 1층 124호 (역삼동),723핫도그앤커피 강남본점,37.49772599457762,127.02640702509804
144,서울특별시 강남구 신사동 654-14번지 지상1층 ,서울특별시 강남구 도산대로51길 18 (신사동지상1층),이자카야 인 뉴욕,37.524310185700955,127.03511873909254
